QuestionText,AnswerText,Tags
"What's your preferred style?","Casual Everyday","casual"
"What's your preferred style?","Office Formal","formal,office"
"What's your preferred style?","Gym & Sports","sporty,active"
"What's your favorite color?","Neutral (Beige/Gray)","neutral,beige,gray"
"What's your favorite color?","Bright (Red/Yellow)","bright,red,yellow"
"What's the occasion?","Beach Party","summer,swimwear,casual"
"What's the occasion?","Business Meeting","formal,office"
"What season is it?","Summer","summer"
"What season is it?","Winter","winter"
"What fabric do you prefer?","Cotton","cotton"
"What fabric do you prefer?","Khaddar","khaddar"
"Choose your go-to outfit for the office.","Smart-Fit Polo","formal,polo,smart-casual,women"
"Choose your go-to outfit for the office.","Wool Business Coat","coat,formal,wool,men"
"Choose your go-to outfit for the office.","Oxford Shirt and Trousers","executive,formal,shirt,men"
"Choose your go-to outfit for the office.","Formal Button-Up Shirt","formal,office,shirt,men"
"Pick your favorite type of shirt.","Breathable Polo Shirt","casual,polo,short-sleeve,women"
"Pick your favorite type of shirt.","Graphic Cotton T-Shirt","casual,graphic,t-shirt,men"
"Pick your favorite type of shirt.","Checked Casual Shirt","casual,checked,shirt,women"
"Pick your favorite type of shirt.","White Formal Shirt","formal,office,shirt,men"
"Pick your gym outfit.","Quick-Dry Training Shirt","gymwear,quick-dry,training,men"
"Pick your gym outfit.","Moisture-Wicking Set","comfortable,gymwear,performance,men"
"Pick your gym outfit.","Sleeveless Activewear Tee","active,breathable,gymwear,men"
"Pick your gym outfit.","Stretchable Joggers","fitness,gymwear,joggers,men"
"Pick your gym outfit.","Stretchable Joggers","fitness,gymwear,joggers,women"
"Pick your gym outfit.","Sleeveless Activewear Tee","active,breathable,gymwear,women"
"Pick your gym outfit.","Quick-Dry Training Shirt","gymwear,quick-dry,training,women"
"What do you prefer to wear on weekends?","Relaxed Cotton Shorts","casual,cotton,shorts,men"
"What do you prefer to wear on weekends?","Training Gymwear Set","gymwear,quick-dry,training,men"
"What do you prefer to wear on weekends?","Pastel Polo Shirt","casual,polo,short-sleeve,women"
"What do you prefer to wear on weekends?","Oversized Casual T-Shirt","casual,relaxed,t-shirt,men"
"What do you prefer to wear on weekends?","Training Gymwear Set","gymwear,quick-dry,training,women"
"What kind of footwear do you prefer?","White Casual Sneakers","casual,shoes,sneakers,men"
"What kind of footwear do you prefer?","Black Leather Oxfords","formal,leather,shoes,men"
"What kind of footwear do you prefer?","Slip-On Loafers","casual,loafers,shoes,men"
"What kind of footwear do you prefer?","Laced Running Shoes","gymwear,shoes,sporty,women"
"What's your favorite style of coat?","Padded Winter Jacket","casual,coat,padded,men"
"What's your favorite style of coat?","Beige Trench Coat","coat,formal,trench,men"
"What's your favorite style of coat?","Relaxed Fit Overcoat","casual,coat,minimal,women"
"What's your favorite style of coat?","Double-Breasted Formal Coat","coat,formal,wool,men"